case,location,date,fatalities,injured,total_victims,location2,age_of_shooter,prior_signs_mental_health_issues,race,gender,latitude,longitude,type,year
Colorado Springs shooting rampage,Colorado Springs Colorado,10/31/2015,3,0,3,Other,33,Unclear,White,M,38.83755,-104.814251,Mass,2015
Fort Hood shooting 2,Fort Hood Texas,04/03/2014,3,12,15,Military,34,Unclear,Latino,M,31.141716,-97.777559,Mass,2014
Yountville veterans home shooting,Yountville  California,03/09/2018,3,0,3,Workplace,36,Yes,Asian,M,38.392496,-122.366528,Mass,2018
Edgewood businees park shooting,Edgewood  Maryland,10/18/17,3,3,6,Workplace,37,Unclear,Black,M,39.452189,-76.309988,Mass,2017
San Francisco UPS shooting,San Francisco California,6/14/17,3,2,5,Workplace,38,Yes,Asian,M,37.765947,-122.406087,Mass,2017
Excel Industries mass shooting,Hesston  Kansas,2/25/2016,3,14,17,Workplace,38,Unclear,Black,M,38.135992,-97.425145,Mass,2016
Fresno downtown shooting,Fresno  California,4/18/2017,3,0,3,Other,39,Unclear,Black,M,36.746378,-119.800319,Mass,2017
Rural Ohio nursing home shooting,Kirkersville  Ohio,05/12/2017,3,0,3,Workplace,43,Yes,White,M,39.959034,-82.596508,Mass,2017
Walmart shooting in suburban Denver,Thornton  Colorado,11/01/2017,3,0,3,Other,47,Unclear,White,M,39.876374,-104.986132,Mass,2017
Planned Parenthood clinic,Colorado Springs Colorado,11/27/2015,3,9,12,Workplace,57,Unclear,White,M,38.881031,-104.849057,Mass,2015
Pensacola Naval base shooting,Pensacola  Florida,12/06/2019,3,8,11,Military,-,-,-,M,30.364707,-87.288567,Mass,2019
